Date;Price;Ticker
02/01/2020;72,47;AAPL
03/01/2020;71,76;AAPL
06/01/2020;72,34;AAPL
07/01/2020;72,0;AAPL
08/01/2020;73,15;AAPL
09/01/2020;74,71;AAPL
10/01/2020;74,88;AAPL
13/01/2020;76,48;AAPL
14/01/2020;75,44;AAPL
15/01/2020;75,12;AAPL
16/01/2020;76,06;AAPL
17/01/2020;76,9;AAPL
21/01/2020;76,38;AAPL
22/01/2020;76,65;AAPL
23/01/2020;77,02;AAPL
24/01/2020;76,8;AAPL
27/01/2020;74,54;AAPL
28/01/2020;76,65;AAPL
29/01/2020;78,26;AAPL
30/01/2020;78,14;AAPL
31/01/2020;74,68;AAPL
03/02/2020;74,47;AAPL
04/02/2020;76,93;AAPL
05/02/2020;77,56;AAPL
06/02/2020;78,47;AAPL
07/02/2020;77,4;AAPL
10/02/2020;77,77;AAPL
11/02/2020;77,3;AAPL
12/02/2020;79,13;AAPL
13/02/2020;78,57;AAPL
14/02/2020;78,59;AAPL
18/02/2020;77,15;AAPL
19/02/2020;78,27;AAPL
20/02/2020;77,47;AAPL
21/02/2020;75,71;AAPL
24/02/2020;72,12;AAPL
25/02/2020;69,67;AAPL
26/02/2020;70,78;AAPL
27/02/2020;66,15;AAPL
28/02/2020;66,11;AAPL
02/03/2020;72,27;AAPL
03/03/2020;69,97;AAPL
04/03/2020;73,22;AAPL
05/03/2020;70,84;AAPL
06/03/2020;69,9;AAPL
09/03/2020;64,37;AAPL
10/03/2020;69,01;AAPL
11/03/2020;66,61;AAPL
12/03/2020;60,03;AAPL
13/03/2020;67,23;AAPL
16/03/2020;58,58;AAPL
17/03/2020;61,15;AAPL
18/03/2020;59,66;AAPL
19/03/2020;59,2;AAPL
20/03/2020;55,44;AAPL
23/03/2020;54,26;AAPL
24/03/2020;59,71;AAPL
25/03/2020;59,38;AAPL
26/03/2020;62,5;AAPL
27/03/2020;59,92;AAPL
30/03/2020;61,63;AAPL
31/03/2020;61,5;AAPL
01/04/2020;58,26;AAPL
02/04/2020;59,24;AAPL
03/04/2020;58,39;AAPL
06/04/2020;63,48;AAPL
07/04/2020;62,74;AAPL
08/04/2020;64,35;AAPL
09/04/2020;64,81;AAPL
13/04/2020;66,09;AAPL
14/04/2020;69,42;AAPL
15/04/2020;68,79;AAPL
16/04/2020;69,34;AAPL
17/04/2020;68,4;AAPL
20/04/2020;66,98;AAPL
21/04/2020;64,91;AAPL
22/04/2020;66,78;AAPL
23/04/2020;66,52;AAPL
24/04/2020;68,44;AAPL
27/04/2020;68,49;AAPL
28/04/2020;67,38;AAPL
29/04/2020;69,59;AAPL
30/04/2020;71,06;AAPL
01/05/2020;69,91;AAPL
04/05/2020;70,9;AAPL
05/05/2020;71,97;AAPL
06/05/2020;72,71;AAPL
07/05/2020;73,46;AAPL
08/05/2020;75,21;AAPL
11/05/2020;76,39;AAPL
12/05/2020;75,52;AAPL
13/05/2020;74,61;AAPL
14/05/2020;75,07;AAPL
15/05/2020;74,62;AAPL
18/05/2020;76,38;AAPL
19/05/2020;75,94;AAPL
20/05/2020;77,42;AAPL
21/05/2020;76,84;AAPL
22/05/2020;77,33;AAPL
26/05/2020;76,81;AAPL
